Name,Description,Dependency,Required Events,Required Heartbeat Events,Used by product,Status,Field 8,Evar / Prop Number (from Field 8),Persistence (from Field 8),Description (from Field 8),Context Data Variable (from Field 8),Pages and Screens
App Lifecycle Events,"This package provides metrics required to track an app's lifecycle events, such as launches, closures, and user engagement over time. Lifecycle data is critical for understanding app usage patterns, retention, and session behavior.
Adobe allows the attachment of additional data to lifecycle events, which can be collected as a dictionary of values for deeper analysis. 

Ensure compliance with the Globally Required & Conditionally Required Global Dimensions.

iOS Instructions: https://developer.adobe.com/client-sdks/documentation/mobile-core/lifecycle/ios/#collecting-additional-data-with-lifecycle 
Android Instructions: https://developer.adobe.com/client-sdks/documentation/mobile-core/lifecycle/android/#implementing-global-lifecycle-callbacks:~:text=To%20include%20additional,contains%20context%20data%3A

Note: This is applicable only to iOS, tvOS, Android mobile, Android TV, and Fire TV devices.","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID",,,,,,,,,,
App Backgrounding,"This package supports tracking when an app is sent to the background, enabling accurate measurement of session length and time spent in the app. Adobe’s out-of-the-box lifecycle tracking does not automatically capture app backgrounding events, making this package essential for apps requiring precise session tracking.
By firing the App Backgrounded event before the app is sent to the background, this package ensures the final hit of a session is recorded accurately.
Use Case:
Optimize time-on-app metrics by ensuring proper session closure data is captured.","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID",App Backgrounded (event267),,,,,,,,,
App Installing,"This package tracks app installation events to identify the source of app installs and measure the effectiveness of acquisition campaigns. Adobe’s out-of-the-box lifecycle tracking may not capture installs for all platforms, so this package is critical for platforms requiring explicit installation event tracking.
Implementation:
Fire the App Installed event after the app is launched for the first time. This event captures the installation source and acts as the first recorded event of the app.
Use Case:
Analyze user behavior and performance based on acquisition sources.","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID",,,,,,,,,,
Fox Profile,"This package provides metrics and dimensions to support tracking user authentication activities, including sign-in, sign-up, and sign-out events.
Use Case:
Track user account interactions to measure adoption, usage, and churn within the Fox Profile system.","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID","Profile Sign In Completed (Log In Click) (event85),Profile Sign Up Completed (event80),Profile Initiated (event82)",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox News Comcast Flex",Prod Ready,,,,,,
Pages / Screens (Full),"This package defines the full set of dimensions and metrics required for comprehensive page or screen tracking. It ensures every page and screen on the site or app is accounted for, using entries from the Pages and Screens Table.
Guidelines:
- For pages/screens not covered in the documented table, contact the DSAS team to request updates.
- No custom events or video tracking are included in this package.
Use Case:
Best suited for complete tracking implementations where granular data is required.
If there is a page or screen that does not fit in any of the documented Page/Screen options, please reach out to the DSAS team to have a new Page/Screen added.",Fox X.ID,"Page View (custom) (event1),External Campaign Response (event29),Internal Campaign Response (event30),Page View",,"Outkick Web,Fox News Web,Fox Business Web",Prod Ready,,,,,,
Pages / Screens (Minimum Viable),"This package focuses on collecting only the minimum required dimensions and metrics for basic page or screen tracking. It ensures foundational tracking without additional complexities.
Guidelines:
- All pages and screens should be tracked using the Pages and Screens Table.
- Contact the DSAS team for undocumented cases.
Use Case:
Ideal for lightweight implementations or MVP launches where limited tracking suffices.
If there is a page or screen that does not fit in any of the documented Page/Screen options, please reach out to the DSAS team to have a new Page/Screen added.",Fox X.ID,"Page View (custom) (event1),External Campaign Response (event29),Internal Campaign Response (event30),Page View",,,Prod Ready,,,,,,
Search Interaction,"This package tracks internal search functionality, capturing user behavior from search initiation to result selection. It provides insights into how users navigate content via search and identifies search optimization opportunities.
Use Case:
Monitor search performance and user interaction patterns to enhance content discovery.","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID","Search Result Selected (event271),Search Action (event270),Search Started (event269)",,"Fox News Web,Fox News iOS,Fox News Android,Fox Business Web,Fox Business iOS,Fox Business Android",Prod Ready,,,,,,
Social Sharing,"This package tracks user-driven sharing activities across social platforms, email, or other methods. It provides metrics for evaluating content virality and audience engagement.
Use Case:
Measure the reach and effectiveness of sharing features on the platform.","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID","Social Networking Share (event6),Tweet (event40)",,,Prod Ready,,,,,,
Navigation Interaction,"This package tracks user interactions with navigation elements, such as menu clicks or slideshow navigation. It helps analyze how users move through the platform.
Use Case:
Optimize user flow and navigation structures for better engagement.","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID","Slideshow Arrow Swipe (event36),Slideshow Thumbnail Click (event37)",,,,,,,,,
Content Interaction,"This package tracks user interactions with content items, such as video selections or article clicks. It provides insights into content consumption patterns and user preferences.
Use Case:
Evaluate the performance of individual content items and collections.","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID","Photo Viewed (event26),Slideshow Arrow Swipe (event36),Slideshow Thumbnail Click (event37),Detail Content Views (event42),Show More Button (event53),Homepage Click (event57),Homepage View (event75)",,,,,,,,,
