Name,Type,Evar / Prop Number,Persistence,Fox Corp Spec Equivalent Dimension Name,Fox Corp Spec Equivalent Dimension Value,Description,Context Data Variable,Value Formula,Example Values,Priority,Category,Legacy Native Adobe Implementation Context Data,Adobe Processing Rules Accepted Context Data,Products,Dev & QA Notes
Country,Prop,,Hit,,,"Tracks the user's country based on their IP address or geographic metadata. This dimension is useful for analyzing global audience distribution, tailoring content to regional preferences, and optimizing campaigns based on country-specific performance.",,,,,,,,,"QA Notes:
- Test with IP addresses from multiple countries to verify correct country detection.
- Validate country assignments for VPN or proxy scenarios.
- Confirm consistency across sessions for the same user.
"
City,Prop,,Hit,,,"Captures the user's city as determined by their IP address or geographic metadata. This dimension supports local market insights, enabling granular reporting for urban-specific campaigns or content strategies.",,,,,,,,,"QA Notes:
- Test IPs from various cities, including metropolitan and rural locations.
- Verify accurate city detection for shared or public IPs.
- Confirm city information matches other geo-dimensions like Country and Region.
"
Region,Prop,,Hit,,,"Identifies the user's region or state using geographic metadata. It is often used in conjunction with country and city dimensions to provide a hierarchical view of user locations, enabling region-specific targeting and compliance analysis.",,,,,,,,,"QA Notes:
- Test region detection for multiple states, provinces, or regions globally.
- Verify data accuracy when users are in border areas.
- Validate against external geographic lookup services.
"
Link: Nav Item,Prop,,Hit,,,"Tracks which navigation item or link a user interacts with during their session. This dimension is critical for understanding user flows, identifying popular navigation paths, and improving website or app usability.",,,,,,,,,"Dev Notes:
- Track the specific navigation link clicked by the user. Use descriptive identifiers for link names (e.g., Home, Contact Us).
- Ensure unique IDs are assigned to navigation elements for clear attribution.
QA Notes:
- Test clicks on various navigation items to ensure correct tracking.
- Verify tracking works across different devices and screen sizes.
- Validate event triggers and ensure no duplicate data is sent.
"
Authentication,Prop,,Hit,,,"Indicates the user's authentication status (e.g., logged in or not). This dimension helps distinguish between anonymous and registered users, allowing for analysis of engagement levels, content preferences, and conversion behaviors by user type.",,,,,,,,,"Dev Notes:
- Capture authentication state (e.g., logged in or not) at the start of each session.
- Use a binary value (true/false) for simplicity and consistent processing.
QA Notes:
- Verify accurate authentication status when users log in or out mid-session.
- Test edge cases, such as expired sessions or multiple devices.
- Ensure data is securely transmitted and compliant with privacy regulations.
"
Pages (conversion) (c10)Pages: Content Level 1 (c1),,,,,,,,,,,,,,,
Page URL (v75)Pages: Content Level 1 (c1),,,,,,,,,,,,,,,
User: XID (v143)Pages: Content Level 1 (c1),,,,,,,,,,,,,,,
Tracking Code,Evar,0,WEEK,Tracking Code,0,,v0,,,,,,,,
Pages: Content Level 1 (v1),Evar,1,Visit,Page: Content Category (v111),111,"Represents the highest-level categorization of content (e.g., Section or Main Topic). This visit-level dimension helps group content into broad categories for strategic analysis, such as identifying which primary sections of the site drive the most engagement or traffic.","page_content_category
contentlevel1",,"Politics
Market
Economy
Technology
Sports
Weather",P0 - Blocker/Critical,Page Attributes,"s.prop1
s.eVar1",,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio","Dev Notes:
- Map this dimension to the highest-level content categorization (e.g., News, Sports).
- Implement logic to dynamically assign the category based on page metadata or URL structure.
QA Notes:
- Test content categorization for all primary sections of the site or app.
- Verify data accuracy when pages span multiple categories.
- Validate compatibility with dynamically generated pages.
"
Pages: Content Level 1 (c1),Prop,1,Hit,Page: Content Category (v111),111,"Similar to Pages: Content Level 1 (v1) but captured at the hit level, allowing detailed analysis of individual interactions within the primary content category. It complements eVars by providing granular insights for each content hit.","page_content_category
contentlevel1",,"Politics
Market
Economy
Technology
Sports
Weather",,,,,"Fox News Web,Fox News iOS,Fox News Android,Fox News tvOS,Fox News Roku,Fox News Xbox,Fox News Fire TV,Fox News Android TV,Fox News Samsung TV,Fox News Vizio,Fox News Chromecast,Fox Business Android,Fox Business tvOS,Fox News Comcast Flex,Fox Business Web,Fox Business Xbox,Fox Business Android TV,Fox Business Samsung TV,Fox Business Fire TV,Fox Business Chromecast,Outkick Web,Fox Business Roku,Fox Business iOS,Fox Business Vizio","Dev Notes:
- Capture hit-level data for the primary content category of the page.
- Ensure this dimension aligns with the visit-level Pages: Content Level 1 (v1) for consistency.
QA Notes:
- Verify hit-level data is accurately captured for each pageview.
- Test content categorization for multi-step processes or paginated content.
- Ensure no discrepancies between v1 and c1.
"
