Event Name,Description,Event #,Event Type,MVP Evars And Props,Minimum Viable Evars,Minimum Viable Props,Full Integration,Priority,Conditions to fire,Implementation Packages,Dev & QA Notes
Page View,"Tracks when a user successfully loads a webpage or screen within the platform. It serves as a fundamental metric for understanding user engagement and navigation patterns. This event should capture critical metadata, including page context (e.g., content type, category, or unique identifiers) and user session details, ensuring comprehensive insights into platform usage. Page View tracking must be compatible with single-page applications (SPAs), lazy-loading frameworks, and dynamic content to ensure accurate and reliable data across web, app, and OTT platforms.",,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: Fox Last Known Profile ID (v141),User: Fox Known Profile ID (v142),User: XID (v143)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),New vs. Repeat Visitors (30 days) (c22),New Visitors Pages (c23),Repeat Visitors Pages (c24),GeoSegmentation (c25),Visit Number per Month (c26),Days Since Last Visit (c27),Alt Pages Report (c40),Time Parting: Hour (c41),Time Parting: Day (c42)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: Fox Last Known Profile ID (v141),User: Fox Known Profile ID (v142),User: XID (v143)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),New vs. Repeat Visitors (30 days) (c22),New Visitors Pages (c23),Repeat Visitors Pages (c24),GeoSegmentation (c25),Visit Number per Month (c26),Days Since Last Visit (c27),Alt Pages Report (c40),Time Parting: Hour (c41),Time Parting: Day (c42)",,P0,"Global Pageview, to fire on every page/screen load. ","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID","Dev Instructions:
- Implement the event to trigger upon the full loading of a page or screen. Ensure all specified required and minimum viable dimensions are included in the event payload.
- Configure logic to avoid duplicate event firing during single-session navigation.
- Ensure compatibility with dynamic page-loading scenarios, such as SPA (single-page applications) or OTT navigation.
QA Instructions:
- Verify the event fires accurately on all page and screen loads across platforms (web, app, OTT).
- Confirm the event payload includes all required and minimum viable dimensions as specified in the spec.
- Test edge cases like browser reloads, app task switching, and slow network conditions to ensure no missed or duplicate events.
- Use debugging tools (e.g., Adobe Debugger, Charles Proxy) to validate the complete event payload.
"
Page View (custom) (event1),"Maybe rename to impression? 
The Page View Custom event, (Not to be mistaken with the preferred Out of the box ""Pageview""), tracks when a user successfully loads a webpage or screen within the platform. It serves as a fundamental metric for understanding user engagement and navigation patterns. This event should capture critical metadata, including page context (e.g., content type, category, or unique identifiers) and user session details, ensuring comprehensive insights into platform usage. Page View tracking must be compatible with single-page applications (SPAs), lazy-loading frameworks, and dynamic content to ensure accurate and reliable data across web, app, and OTT platforms.",1,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,"Global Pageview, to fire on every page/screen load. ","Pages / Screens (Minimum Viable),Pages / Screens (Full),Fox X.ID","Dev Instructions:
- Implement the event to trigger upon the full loading of a page or screen. Ensure all specified required and minimum viable dimensions are included in the event payload.
- Configure logic to avoid duplicate event firing during single-session navigation.
- Ensure compatibility with dynamic page-loading scenarios, such as SPA (single-page applications) or OTT navigation.
QA Instructions:
- Verify the event fires accurately on all page and screen loads across platforms (web, app, OTT).
- Confirm the event payload includes all required and minimum viable dimensions as specified in the spec.
- Test edge cases like browser reloads, app task switching, and slow network conditions to ensure no missed or duplicate events.
- Use debugging tools (e.g., Adobe Debugger, Charles Proxy) to validate the complete event payload.
"
Story/Content Impressions (event3),"Mainly being used for brandsafe checks to carry the dimension, rename and revise to be brandsafe specific. Must fire after pageview to not interrupt page call waiting on brandsafe api response. 

The Story/Content Impressions event measures when a piece of content (e.g., articles, videos, or images) becomes visible on the user’s screen. This metric helps quantify content reach and visibility, essential for assessing content performance and user engagement. An impression is recorded when at least 50% of the content's dimensions are visible for a minimum duration (e.g., 1 second). This event should dynamically handle various content formats and placements, including lazy-loaded components and infinite scrolling, to ensure accurate tracking across all platforms.",3,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,"Trigger this event when a piece of content is loaded and visible on the user’s screen for at least 50% of its height or width, regardless of the platform (app, OTT, or web). This ensures impressions are counted only when the user has the opportunity to view the content.","Scroll Point Impressions,Fox X.ID","Dev Instructions:
- Implement the event to fire when at least 50% of a content element is visible on the user’s screen for the required duration. Include all required and minimum viable dimensions in the event payload.
- Ensure visibility tracking logic accounts for dynamically loaded or lazy-loaded content.
QA Instructions:
- Test the event triggers only when content visibility and duration criteria are met across all platforms.
- Validate the inclusion of all required and minimum viable dimensions in the event payload.
- Confirm proper handling of edge cases, such as rapid scrolling or partially visible content.
- Check for deduplication of impressions within the same session for identical content.
"
Social Networking Share (event6),"The Social Networking Share event tracks user-initiated actions to share content on social media platforms (e.g., Facebook, Twitter, LinkedIn). This event captures essential insights into content virality and user advocacy. It should include contextual metadata such as the platform shared to, the content shared, and the method used (e.g., native share buttons or integrated APIs). The event ensures compatibility across app, OTT, and web interfaces, handling platform-specific variations and ensuring the action is successfully completed before firing.",6,Counter,"Pages: Content Level 1 (v1),Detail Content: ID (v11),Detail Content: Name (v12),Detail Content: Type (v13),Detail Content: Author (v14),Detail Content: Source (v15),Internal Link URL (v74),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Detail Content: Source (v16),Page URL (v75)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Detail Content: ID (v11),Detail Content: Name (v12),Detail Content: Type (v13),Detail Content: Author (v14),Detail Content: Source (v15),Internal Link URL (v74),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Detail Content: Source (v16),Page URL (v75)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Detail Content: ID (v11),Detail Content: Name (v12),Detail Content: Type (v13),Detail Content: Author (v14),Detail Content: Source (v15),Internal Link URL (v74),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Detail Content: Source (v16),Page URL (v75)",P2,This should fire when a user has clicked a social icon to share content with a social media network. ,"Social Sharing,Fox X.ID","Dev Instructions:
- Fire the event upon successful completion of a share action using any supported platform’s sharing interface. Ensure all required and minimum viable dimensions are captured in the event payload.
- Handle scenarios where the user cancels or fails to complete the share action, preventing unnecessary triggers.
QA Instructions:
- Validate the event fires upon successful share actions across all supported devices and platforms.
- Confirm the inclusion of all required and minimum viable dimensions in the event payload.
- Test scenarios involving share cancellations or failures to ensure no events are incorrectly logged.
- Inspect event payloads using debugging tools to verify completeness and accuracy.
"
Photo Viewed (event26),"The Photo Viewed event records when a user opens or views a photo, providing insight into visual content engagement. This event should fire only when the photo is fully rendered and visible to the user. It must support dynamic scenarios, such as galleries, modals, or OTT slideshows, and include metadata like photo ID, category, and viewing context. To maintain data integrity, duplicate triggers within the same session for the same photo should be avoided, even during rapid navigation or reloading.",26,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,This should fire when the target photo enters the users view. ,"Content Interaction,Fox X.ID","Dev Instructions:
- Trigger the event when a user opens or loads a photo in a dedicated view or modal. Ensure the event payload includes all required and minimum viable dimensions.
- Configure logic to avoid firing duplicate events for the same photo within a session.
QA Instructions:
- Test that the event triggers when a photo is viewed across all supported platforms and contexts.
- Verify all required and minimum viable dimensions are included in the event payload.
- Confirm no duplicate events fire during scenarios such as rapid gallery navigation or reloading a photo.
- Test the event’s behavior during slow-loading photos or network interruptions.
"
External Campaign Response (event29),"The External Campaign Response event measures when a user accesses the platform through an external campaign source, such as email, paid ads, or social media links. This event provides critical data for campaign performance analysis by capturing metadata like campaign source, medium, content, and unique identifiers (e.g., UTM parameters). It ensures compatibility with various entry points, including direct URLs, app deep links, and referral sources. To prevent data duplication, this event should trigger only once per session, regardless of further navigation originating from the same campaign.",29,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P1,"Fire this event when a user accesses the platform through an external campaign source, such as an email, ad click, or social media link. Campaign tracking parameters (e.g., UTM or equivalent) must be present in the URL or passed as metadata.","Pages / Screens (Full),Pages / Screens (Minimum Viable),Fox X.ID","Dev Instructions:
- Fire the event when a user accesses the platform through a link with identifiable campaign parameters. Ensure all required and minimum viable dimensions are included in the event payload.
- Prevent multiple triggers of the event within the same session entry, regardless of navigation or platform transitions.
QA Instructions:
- Validate the event triggers correctly when accessing the platform through tagged campaign links.
- Confirm all required and minimum viable dimensions are present in the event payload.
- Test edge cases, including malformed campaign parameters and app deep links, to ensure accurate event logging.
- Use debugging tools to validate event payload integrity and completeness.
"
Internal Campaign Response (event30),"The Internal Campaign Response event measures when a user engages with and responds to an internal campaign element, such as a banner, promo module, or featured call-to-action (CTA) within the platform. This event is crucial for evaluating the performance of internal promotions and content recommendations. The response is logged when a user interacts with the element and navigates to the linked content. Metadata should include the campaign ID, location of the campaign on the page or app, and the action taken. The event must handle dynamic campaigns and ensure proper deduplication for repeated interactions with the same campaign element during a session.",30,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P1,This should fire when a user has interacted with an internal campaign. ,"Pages / Screens (Full),Pages / Screens (Minimum Viable),Fox X.ID","Dev Instructions:
- Trigger this event when a user interacts with an internal campaign element (e.g., banner, promo module) and navigates to the linked content.
- Ensure the event captures all required and minimum viable dimensions specified in the spec.
- Configure the logic to fire only once per interaction, regardless of repeated clicks on the same element.
- Implement fallback handling for dynamically loaded internal campaigns to ensure proper tracking.
QA Instructions:
- Test the event triggers on all platforms (web, app, OTT) when interacting with internal campaign elements.
- Validate the inclusion of all required and minimum viable dimensions in the event payload.
- Confirm that the event does not fire multiple times for the same interaction within a session.
- Use debugging tools to verify the accuracy and completeness of the event payload under various scenarios.
"
Detail Content Views (event31),"The Detail Content Views event tracks when a user navigates to a detailed view of content, such as an article, video, or product detail page. This event provides valuable insights into user interest and content engagement. It should trigger only after the primary content is fully loaded and visible to the user. Metadata should include the content ID, type, category, and source (e.g., search, internal link, or campaign). The event must account for platform-specific behaviors, such as prefetching on mobile or delayed loading on OTT platforms, and ensure duplicate triggers are avoided for the same detailed view within a session.",31,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,"Trigger this event when a user navigates to a detail view of content, such as a specific article, video, or product page, and the primary content of the page is fully loaded. The event should fire after any initial placeholders are replaced with actual content.",Fox X.ID,"Dev Instructions:
- Fire this event when a user accesses a detailed view of content (e.g., articles, videos, product details) and the primary content is fully loaded.
- Ensure the event includes all required and minimum viable dimensions outlined in the spec.
- Prevent duplicate triggers during navigation within the same detailed content view.
- Account for platform-specific loading behaviors, such as OTT app delays or mobile app prefetching.
QA Instructions:
- Test the event triggers consistently across all platforms when detailed content views are accessed.
- Verify all required and minimum viable dimensions are present in the event payload.
- Confirm the event does not fire redundantly when revisiting the same detailed content view within a session.
- Validate the payload’s accuracy and completeness under network interruptions or slow-loading conditions.
"
Thumbnail Clicks (event35),"The Thumbnail Clicks event measures user engagement with thumbnail images that serve as navigation elements to other content (e.g., articles, videos, or galleries). The event fires when a user clicks or taps on a thumbnail, signaling intent to explore the associated content. Metadata should include the thumbnail ID, linked content ID, and the context of the thumbnail (e.g., carousel, homepage, or gallery). Logic should ensure the event fires only for valid clicks, avoiding accidental triggers from hovers or failed navigation attempts. The event must support dynamic thumbnails and lazy-loading scenarios to ensure consistent tracking across platforms.",35,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P0,This should fire when a user clicks on a thumbnail. ,Fox X.ID,"Dev Instructions:
- Trigger the event when a user clicks or taps on a thumbnail to navigate to linked content, such as an article, video, or gallery.
- Ensure all required and minimum viable dimensions are captured in the event payload.
- Configure logic to track only valid thumbnail interactions, avoiding accidental triggers (e.g., hover events or failed navigation).
QA Instructions:
- Validate the event triggers upon clicking thumbnails across supported platforms.
- Confirm that all required and minimum viable dimensions are included in the event payload.
- Test edge cases such as rapid or repeated clicks on thumbnails to ensure no redundant or missed events.
- Use debugging tools to inspect event payloads and confirm accuracy under dynamic or lazy-loaded thumbnails.
"
Slideshow Arrow Swipe (event36),"The Slideshow Arrow Swipe event tracks user interactions with navigation controls in a slideshow, including arrow clicks and swipe gestures. This event provides insights into user navigation behavior and engagement with slideshow content. It should trigger whenever a user navigates to a new slide, capturing metadata such as the slide ID, slide index, and navigation type (arrow click or swipe). Logic should account for rapid swiping or clicking, ensuring no duplicate events are triggered for the same action. The event must adapt to various slideshow implementations, including mobile-friendly swipe gestures and OTT remote interactions.",36,Counter,"Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)","Pages: Content Level 1 (v1),Pages: Content Level 2 (v2),Pages: Content Level 3 (v3),Pages: Content Level 4 (v4),Pages (conversion) (v10),Detail Content: Name (v12),Detail Content: Type (v13),New vs Repeat Visitor (30 days) (v22),Experiment Name | Experiment Variation (v65),Page URL (v75),Registered User (v82),Nation Auto Login T/F (v87),Logged In Via Magic Link T/F (v89),User: XID (v143),Pages (conversion) (c10)","Pages: Content Level 1 (c1),Pages: Content Level 2 (c2),Pages: Content Level 3 (c3),Pages: Content Level 4 (c4),Pages (conversion) (c10),Detail Content: Name (c12),Detail Content: Type (c13),Member Name/ID (c21),Alt Pages Report (c40),Prev Page Max | Initial % Viewed (c58),Viewport Width x CSS Pixel Height (c59),Pixel Density (c61),Device Orientation (c62),Ad Blocker (c63),Page URL (c75)",,P2,This should fire when a user clicks a slideshow arrow. ,"Navigation Interaction,Content Interaction,Fox X.ID","Dev Instructions:
- Fire this event each time a user interacts with an arrow or swipe gesture to navigate a slideshow.
- Include all required and minimum viable dimensions in the event payload.
- Configure the logic to track both manual arrow clicks and swipe gestures, accounting for platform-specific behaviors.
- Ensure the event is triggered only once per navigation action to prevent duplicate events.
QA Instructions:
- Test the event triggers on all slideshow navigation actions, including arrow clicks and swipes, across platforms.
- Validate the presence of all required and minimum viable dimensions in the event payload.
- Confirm no duplicate events fire for the same swipe or click action.
- Test dynamic and edge cases, such as rapid swiping or navigation between slideshows, to ensure accurate logging.
"
